trial_id,stage,seed,probe,status_file,metrics_file,parser_status,parsed_record
aggressive-12,aggressive,1301,"40,52,2,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-12/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-12/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15030.7, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 152.31956239999272, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-12"", ""wirelength"": 28815}"
aggressive-13,aggressive,1302,"40,52,2,0.15,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-13/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-13/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15255.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 160.06383924093097, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-13"", ""wirelength"": 28693}"
aggressive-14,aggressive,1303,"40,45,2,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-14/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-14/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15109.5, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 167.05466461693868, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-14"", ""wirelength"": 27492}"
aggressive-15,aggressive,1304,"40,38,2,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-15/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-15/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15030.7, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 152.34983548312448, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-15"", ""wirelength"": 28815}"
aggressive-16,aggressive,1305,"35,52,2,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-16/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-16/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15109.5, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 167.93889638595283, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-16"", ""wirelength"": 27492}"
aggressive-17,aggressive,1306,"30,52,2,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-17/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-17/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15255.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 151.49200115981512, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-17"", ""wirelength"": 28755}"
aggressive-18,aggressive,1307,"40,45,0,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-18/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-18/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15113.2, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 175.75736496201716, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-18"", ""wirelength"": 28371}"
aggressive-19,aggressive,1308,"35,45,2,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-19/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-19/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15255.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 152.21903526014648, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-19"", ""wirelength"": 28755}"
aggressive-20,aggressive,1309,"30,38,2,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-20/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-20/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15114.5, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 188.3885879770387, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-20"", ""wirelength"": 27472}"
aggressive-21,aggressive,1310,"40,38,1,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-21/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-21/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15310.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 154.11570636206307, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-21"", ""wirelength"": 28083}"
aggressive-22,aggressive,1311,"35,52,0,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-22/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-22/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15113.2, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 175.8720865480136, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-22"", ""wirelength"": 28371}"
aggressive-23,aggressive,1312,"30,45,2,0.20,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-23/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-23/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15109.5, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 165.42145381798036, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-23"", ""wirelength"": 27492}"
aggressive-24,aggressive,1313,"40,52,1,0.20,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-24/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-24/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15310.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 155.00113455415703, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-24"", ""wirelength"": 28083}"
aggressive-25,aggressive,1314,"35,38,2,0.15,AREA 0",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-25/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-25/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15114.5, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 35, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 0""}, ""runtime_s"": 188.11480780597776, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-25"", ""wirelength"": 27472}"
aggressive-26,aggressive,1315,"30,52,1,0.20,AREA 2",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-26/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-26/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15113.2, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 30, ""GRT_ADJUSTMENT"": 0.2, ""SYNTH_STRATEGY"": ""AREA 2""}, ""runtime_s"": 173.87000649701804, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-26"", ""wirelength"": 28371}"
aggressive-27,aggressive,1316,"40,38,2,0.15,AREA 1",/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-27/status.json,/home/ubuntu/Flow-Guard/results/pilot_repaired_tile_v3/runs/trial_aggressive-27/final/metrics.json,PARSED,"{""DRC"": 0, ""TNS"": 0, ""WNS"": 0, ""area"": 15255.9, ""failure_stage"": null, ""feasible"": true, ""knobs"": {""CLOCK_PERIOD"": 20.0, ""FP_CORE_UTIL"": 40, ""GRT_ADJUSTMENT"": 0.15, ""SYNTH_STRATEGY"": ""AREA 1""}, ""runtime_s"": 159.79260814306326, ""status"": ""SUCCESS"", ""trial_id"": ""aggressive-27"", ""wirelength"": 28693}"
